provider,pair_key,category,category_type,baseline_id,constrained_id,cosine_full,cosine_ingredients,cosine_structural,jaccard_ingredients,baseline_ing_count,constrained_ing_count,baseline_chars,constrained_chars,embedding_model
openai,cul_01,cultural,South Indian Cuisine,cul_base_01,cul_con_01,0.3773,0.2505,0.0444,0.9655,13,17,2328,2682,sentence-transformers/all-MiniLM-L6-v2
openai,cul_02,cultural,West African Cuisine,cul_base_02,cul_con_02,0.1541,0.0967,0.013,0.8481,48,43,2271,2671,sentence-transformers/all-MiniLM-L6-v2
openai,cul_03,cultural,Cultural/Cuisine,cul_base_03,cul_con_03,0.2716,0.2644,0.2965,1.0,9,8,2060,2791,sentence-transformers/all-MiniLM-L6-v2
openai,cul_04,cultural,Cultural/Tradition,cul_base_04,cul_con_04,0.38,0.2185,0.0143,0.9778,21,25,2414,2048,sentence-transformers/all-MiniLM-L6-v2
openai,cul_05,cultural,Medicinal,cul_base_05,cul_con_05,0.294,0.2434,0.026,0.8571,17,15,1591,2564,sentence-transformers/all-MiniLM-L6-v2
openai,cul_06,cultural,Heritage,cul_base_06,cul_con_06,0.1362,0.0591,0.0314,0.6897,21,17,2531,2249,sentence-transformers/all-MiniLM-L6-v2
openai,cul_07,cultural,Tradition,cul_base_07,cul_con_07,0.2429,0.1501,0.0,0.8421,28,16,2510,3017,sentence-transformers/all-MiniLM-L6-v2
openai,cul_08,cultural,Religious,cul_base_08,cul_con_08,0.2217,0.1748,0.0,0.7059,8,14,2708,3338,sentence-transformers/all-MiniLM-L6-v2
openai,cul_09,cultural,Medicinal Fit,cul_base_09,cul_con_09,0.2141,1.0,0.0855,0.0,0,0,2543,3942,sentence-transformers/all-MiniLM-L6-v2
openai,cul_10,cultural,Social Nutrition,cul_base_10,cul_con_10,0.3632,0.7975,0.253,1.0,1,12,1765,3139,sentence-transformers/all-MiniLM-L6-v2
openai,cul_11,cultural,Middle Eastern Cuisine,cul_base_11,cul_con_11,0.0872,0.6425,0.0,0.75,1,4,2262,2739,sentence-transformers/all-MiniLM-L6-v2
openai,cul_12,cultural,Gender Norms,cul_base_12,cul_con_12,0.124,1.0,0.0212,0.0,0,0,2774,3237,sentence-transformers/all-MiniLM-L6-v2
openai,cul_13,cultural,Urban Environment,cul_base_13,cul_con_13,0.4869,1.0,0.0283,0.0,0,0,1265,2578,sentence-transformers/all-MiniLM-L6-v2
openai,cul_14,cultural,Tradition,cul_base_14,cul_con_14,0.2731,0.1109,0.1943,0.881,24,23,1951,2945,sentence-transformers/all-MiniLM-L6-v2
openai,cul_15,cultural,Community Labor,cul_base_15,cul_con_15,0.1834,1.0,0.063,0.0,0,0,2153,3128,sentence-transformers/all-MiniLM-L6-v2
openai,cul_16,cultural,Religious Fasting,cul_base_16,cul_con_16,0.337,0.2042,0.0,0.8148,8,24,1762,2527,sentence-transformers/all-MiniLM-L6-v2
openai,cul_17,cultural,Cuisine,cul_base_17,cul_con_17,0.1606,0.1981,0.0512,0.875,7,11,939,1707,sentence-transformers/all-MiniLM-L6-v2
