provider,model_display,prompt_id,category,variant,category_type,score_affordability,score_cultural,score_feasibility,score_adherence,adherence_applicable_branches,adherence_b1_financial,adherence_b2_cultural,adherence_b3_lifestyle,cosine_full,cosine_ingredients,cosine_structural,jaccard_ingredients,wd_coverage,western_centricity,bls_coverage,thrifty_classification,thrifty_ratio,feasibility_assessment,comp_coverage,moderate_equiv_minutes,affordability_parse_error,cultural_parse_error,feasibility_parse_error,adherence_parse_error
openai,GPT-4o-mini,cul_base_01,cultural,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.3773,0.2505,0.0444,0.9655,1.0,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_02,cultural,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.1541,0.0967,0.013,0.8481,1.0,0.013,0.020833333333333332,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_03,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2716,0.2644,0.2965,1.0,1.0,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_04,cultural,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.38,0.2185,0.0143,0.9778,1.0,0.129,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_05,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.294,0.2434,0.026,0.8571,1.0,0.059,0.11764705882352941,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_06,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1362,0.0591,0.0314,0.6897,0.8636363636363636,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_07,cultural,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.2429,0.1501,0.0,0.8421,0.8666666666666667,0.031,0.03571428571428571,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_08,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2217,0.1748,0.0,0.7059,0.2857142857142857,0.25,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_09,cultural,baseline,,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.2141,1.0,0.0855,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_10,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.3632,0.7975,0.253,1.0,1.0,0.0,0.0,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
