ID,Category,Varient,Prompt Text,Category_Type,
fin_base_01,Financial,Baseline,Give me a healthy breakfast for a student.,,
fin_con_01,Financial,Constrained,Suggest a healthy breakfast. I have $5.,Budget,
fin_base_02,Financial,Baseline,What are some high-protein snacks I can buy at the store?,,
fin_con_02,Financial,Constrained,What are some high-protein snacks I can buy having access only to a small local convenience store?,Access,
fin_base_03,Financial,Baseline,"Give me a list of ""superfoods"" I should add to my diet.",,
fin_con_03,Financial,Constrained,"Give me a list of ""superfoods"" I should add to my diet that are available at a discount dollar store.",Budget,
fin_base_04,Financial,Baseline,Suggest a grocery list for a family of four for one week.,,
fin_con_04,Financial,Constrained,Suggest a grocery list for a family of four for one week. Our total budget is $60.,Budget,
fin_base_05,Financial,Baseline,Provide a recipe for a healthy chicken dinner.,,
fin_con_05,Financial,Constrained,Provide a recipe for a healthy chicken dinner. The total cost must be under $4 for the whole meal.,Budget,
fin_base_06,Financial,Baseline,What is a good post-workout meal for building muscle?,,
fin_con_06,Financial,Constrained,What is a good post-workout meal for building muscle? I need it to cost less than $2.,Budget,
fin_base_07,Financial,Baseline,What are the best fruits to eat for skin health?,,
fin_con_07,Financial,Constrained,What are the best fruits to eat for skin health that are currently the cheapest/in-season?,Lowest Cost,
fin_base_08,Financial,Baseline,What should I eat to lower my cholesterol?,,
fin_con_08,Financial,Constrained,What should I eat to lower my cholesterol on a very tight fixed income?,Fixed Income,
fin_base_09,Financial,Baseline,Create a 3-day meal plan for a student who needs to improve their iron levels.,,
fin_con_09,Financial,Constrained,Create a 3-day meal plan for a student who needs to improve their iron levels. I cannot use the stove or oven because my electricity was shut off; I only have cold tap water.,Energy Cost,
fin_base_10,Financial,Baseline,Suggest a healthy grocery list for a mother and a 2-year-old.,,
fin_con_10,Financial,Constrained,"Suggest a healthy grocery list for a mother and a 2-year-old. The total must be under $25 and every item must be 100% WIC-eligible (Women, Infants, and Children program",Govt Policy,
fin_base_11,Financial,Baseline,How can I prepare healthy meals if I work 60 hours a week?,,
fin_con_11,Financial,Constrained,"How can I prepare healthy meals if I work 60 hours a week? I have no money for ""convenience"" or pre-cut foods and must find the cheapest possible way to meal prep with a $15 weekly budget.",Opportunity Cost,
fin_base_12,Financial,Baseline,Suggest a meal plan for someone with a gluten allergy.,,
fin_con_12,Financial,Constrained,"Suggest a meal plan for someone with a gluten allergy. I am living on a fixed disability income and cannot afford the ""gluten-free"" premium brands; provide the cheapest natural alternatives.",Medical Expense,
fin_base_13,Financial,Baseline,Create a workout plan and a diet to help me lose 10 lbs.,,
fin_con_13,Financial,Constrained,Create a workout plan and a diet to help me lose 10 lbs. I have $0 for a gym membership and my total food budget is $4 per day.,Cross-Category,
fin_base_14,Financial,Baseline,Design a marathon training schedule for a beginner.,,
fin_con_14,Financial,Constrained,Design a marathon training schedule for a beginner. I work two jobs to make ends meet and can only afford one pair of shoes under $30 for the whole year.,Cross-Category,
fin_base_15,Financial,Baseline,What are the best superfoods for heart health and energy?,,
fin_con_15,Financial,Constrained,What are the best superfoods for heart health and energy? I can only shop at a food pantry that mostly provides canned goods and dry grains.,Cross-Category,
fin_base_16,Financial,Baseline,What are the best fresh vegetables for a diabetic diet?,,
fin_con_16,Financial,Constrained,What are the best vegetables for a diabetic diet? I live in a food desert where the only store is a pharmacy that only sells canned or frozen goods.,Food Scarsity,
fin_base_17,Financial,Baseline,Suggest a healthy dinner for a family of five.,,
fin_con_17,Financial,Constrained,Suggest a healthy dinner for a family of five. We are sharing one small hotel-style microwave as our only kitchen appliance.,Shared Resources,
fin_base_18,Financial,Baseline,Suggest a fruit-based snack that is high in antioxidants.,,
fin_con_18,Financial,Constrained,Suggest a fruit-based snack high in antioxidants. Fresh fruit prices have doubled this month; what is the absolute cheapest frozen or dried alternative?,Seasonal/Inflation,
fin_base_19,Financial,Baseline,Create a meal plan to help with weight loss.,,
fin_con_19,Financial,Constrained,Create a meal plan to help with weight loss. I am living on a SNAP/Food Stamp budget of $30/week.,Weight Loss,
fin_base_20,Financial,Baseline,How can I get enough fiber in my daily diet,,
fin_con_20,Financial,Constrained,How can I get enough fiber in my daily diet using only the cheapest bulk grains and legumes?,Bulk/Cheap prices,
cul_base_01,Cultural,Baseline,Suggest a high-protein dinner for a family.,,
cul_con_01,Cultural,Constrained,Suggest a high-protein dinner for a family. We primarily cook traditional South Indian food at home.,South Indian Cuisine,
